Id,Price
4567,168365.23441605264
5925,126715.32729582033
960,141441.20282469888
3848,127851.41827592728
746,208771.32544289567
868,321745.99069770373
672,111532.77790095133
2471,214592.9993899677
4510,115307.43593398671
8354,270594.58582739864
6393,154631.30864316603
13270,228340.64825294813
5250,298517.03576715954
16751,150520.4079477447
11404,128594.26339122951
10588,296499.27514866187
14925,211749.87901113738
6791,200848.57513133177
16097,193332.4562156628
16428,356073.24135813396
6945,336686.7296429114
3190,194919.21593151696
15709,420557.52577666426
13155,141627.20823506563
7675,197999.8515470226
14686,222183.44134477997
609,161537.18498994247
11155,176577.2924308395
10869,200651.51292965372
15742,188704.37615249373
9245,195760.63126052005
3340,163497.9972222336
2359,290179.7700666626
8070,206828.51014300427
13707,122093.01544223203
16079,275161.7081319422
15937,242563.50503077212
14090,184610.43536394276
9008,204597.93776858546
16384,159151.97896500255
11657,242162.4463491427
13151,166319.88418596817
8990,146816.7280392194
11857,183151.72697004408
1565,152895.73544879915
8174,101493.9506954882
9247,242828.9437736236
10478,210309.7806076053
15509,148659.0938640875
8306,279329.1213487982
6642,177584.03986464496
7472,216572.2099589716
15989,133756.09878305675
13682,140953.23189348253
163,227939.68531757736
7076,190926.07694002078
7478,356157.2974662038
3029,186538.0405700807
1814,142510.58557597222
10057,128355.25745121196
15100,193319.55155157845
12694,211241.11283196585
6291,190022.42158076118
12603,161220.21870240496
3218,230655.46369268463
13456,127099.00964230114
10170,228924.7467526822
4530,157724.2021062716
13329,175275.8583576181
4820,156963.6277783118
10896,174429.47171315728
13416,119329.04574906148
2701,219226.32570688284
11265,330324.8447607551
9189,256994.34037726972
1858,199404.4663384577
14536,241134.13957160953
6199,302279.1697203369
14730,147603.30216652862
7510,262808.6993291382
15505,165858.62490281244
7446,181062.63757358302
14016,194524.8904779818
14113,111403.77672863791
8721,279219.6889979966
6193,296067.5545758642
5717,181804.4632551471
5427,324223.74128692114
9520,480502.0548628273
6869,98816.89542329586
1658,156682.4882233374
6639,238153.57090601124
6283,194892.15007044058
6257,127351.41825130464
15235,181856.7791788848
902,250164.91147562923
8932,191344.35645159407
16469,367477.6565075152
2825,246975.0386867907
6450,446805.35151284107
11366,184783.2899477478
3801,373293.3211514486
11385,200853.347908464
1079,192395.1014476944
3202,233400.40765168407
676,229994.84065578043
6185,282806.6755594609
7730,163005.47865153864
2573,185070.812682898
10978,204246.00364635626
10962,247481.61367237815
8870,185055.80011494577
8496,192445.15141455462
5517,182007.9670358477
927,177665.62142280806
13675,195666.41571882277
1499,221738.80059686105
15536,338328.66695630713
8602,340641.8556513997
12137,421746.955635086
9865,251431.4528318881
16353,282225.1315478203
15908,204179.58430008005
3944,181745.1227620334
10359,202773.04963612495
15158,227811.75182914443
3259,220938.62888420702
7220,323089.67870606127
13843,204338.55432573956
16736,170689.50640379457
702,250551.3608182808
16401,171430.17356367377
12134,183536.6305826414
6918,222190.67564594437
11792,129942.84312338108
3798,145334.8152892313
10395,131159.0156761831
11099,132141.27050028872
7090,203960.96832470052
11260,193836.95781585338
9647,216786.5009138669
2903,388042.5009699046
2071,189468.54332858833
8604,179894.23364004734
9346,229192.60505859807
3945,201500.18384233204
3420,136721.40050425
10842,124606.81317883964
725,159713.219431127
13931,185733.0417536494
16330,216594.7237045589
9066,401511.04869082524
3326,291768.9287193057
1556,261360.7342013298
6579,96985.01107074626
13877,142118.55474675994
9857,336876.0311939351
7302,287482.38832186913
5684,196215.13702931983
6513,224780.85803067332
11342,116388.38359948566
16561,229789.57122267745
6885,170109.7996842347
9308,172906.19874597975
2559,212378.82394741988
6648,174485.3522823331
15260,162719.4047011529
5113,193545.53612025498
16492,177313.03690538547
12034,289654.4591984543
7248,216027.8468486904
2171,211818.53971156618
10594,175890.0137895445
13241,215772.30481380472
7032,137525.50498151698
4884,165857.21748442182
903,211427.14434069753
162,182558.59346279496
6566,288138.1632978276
8249,145959.8844160786
13106,160735.13581420435
256,126451.93016838316
7976,180072.78206727668
8575,177698.32413331696
7591,281668.51101414365
3204,199186.95999121567
15804,173304.52797814575
1525,328877.53886779735
9038,204246.00364635626
13628,198856.79973799956
10016,210778.61862180204
10208,218702.60602530293
2008,199287.44198814782
13029,198428.06171954813
5099,128694.08373151341
9923,308671.09238337126
9461,116474.3108281504
11086,185166.2454930286
15057,267721.71030291886
10689,189531.3820403134
2053,177806.5330722903
16630,165516.00364842097
4985,173430.71971745123
13881,279538.6815670152
13225,178220.4638786119
5779,68123.14802797591
10262,189935.81118502136
10762,204202.8057611772
9513,191690.67125451707
11128,169903.04293969637
2074,302315.11048314074
933,195142.92427607262
2780,191092.03968400141
6594,119169.58600988911
15394,266212.4996975744
14863,134821.90020942598
6698,210994.26459991737
1611,269363.6422619079
174,186771.32978527597
5160,210980.932065772
3295,307227.74210215075
4559,385410.24493622215
8254,162197.28285425255
10228,101649.42232112917
13924,137869.52038410486
15341,241922.4271834645
4353,164917.87917691446
4334,67491.44572541949
1872,164350.19662757602
