DistrictId;Rooms;Square;LifeSquare;KitchenSquare;Floor;HouseFloor;HouseYear;Ecology_1;Social_1;Social_2;Social_3;Healthcare_1;Helthcare_2;Shops_1;Price;LifeSquareNan;Healthcare_1_Nan;LifeSquare_per_Square;Ecology_2_bin;Ecology_3_bin;Shops_2_bin;Price_1m;MeanPriceDistrict
27;3.0;115.02731063267048;71.01596823614075;10.0;4;10.0;2014;0.07542368;11;3097;0;900.0;0;0;305018.8710894109;1;1;0.6173835400092413;0;0;0;2651.7082718160877;2763.7097331516416
27;1.0;44.20394691086295;27.29078922620914;0.0;2;13.0;1977;0.072157581;2;629;1;900.0;0;0;135466.55995845908;1;1;0.6173835400092413;0;0;1;3064.580640991782;2763.7097331516416
27;2.0;58.78366099380082;55.441255821329314;11.0;13;13.0;1977;0.011654127;4;915;0;900.0;0;0;138396.98461170195;0;1;0.9431405748474224;0;0;0;2354.3444261883747;2763.7097331516416
27;1.0;52.08443546914479;32.156073149323504;6.0;13;17.0;1977;0.072157581;2;629;1;900.0;0;0;155463.0920325192;1;1;0.6173835400092413;0;0;1;2984.8282050520966;2763.7097331516416
27;1.0;47.557691263772924;22.68232127479575;1.0;7;13.0;1977;0.017647053;2;469;0;900.0;0;0;130190.64357920545;0;1;0.4769432802991009;0;0;0;2737.530778294492;2763.7097331516416
27;1.0;37.34050780705346;37.024630558138035;10.0;8;17.0;2017;0.211401214;9;1892;0;900.0;0;1;108540.77296972286;0;1;0.9915406279275142;0;0;0;2906.783526634846;2763.7097331516416
27;3.0;49.02974651193822;30.27015846729617;0.0;17;25.0;2016;0.072157581;2;629;1;900.0;0;0;138397.35712228325;1;1;0.6173835400092413;0;0;1;2822.7222649128926;2763.7097331516416
27;2.0;66.57716253070629;41.10364428697807;1.0;10;17.0;1977;0.017647053;2;469;0;900.0;0;0;187907.06715514246;1;1;0.6173835400092413;0;0;0;2822.395248047364;2763.7097331516416
27;4.0;119.91498998118117;78.5188744426096;13.0;8;12.0;2015;0.072157581;2;629;1;900.0;0;0;221374.05729278226;0;1;0.6547878163933629;0;0;1;1846.091613129631;2763.7097331516416
27;4.0;98.64940403081155;60.90451828034436;1.0;3;13.0;2019;0.072157581;2;629;1;900.0;0;0;294689.6147935343;0;1;0.6173835400092413;0;0;1;2987.241714116111;2763.7097331516416
